kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
不,"negative, non-","フ, ブ","不足 (ふそく·0) = insufficiency, shortage; 不安 (ふあん·0) = anxiety, uneasiness; 不当 (ふとう·0) = injustice, unfair; 不全 (ふぜん·0) = partial, incomplete; 不動 (ふどう·0,1) = immobility, motionless",不妊症です。,,不妊症 です,｜ ノ 一 丶,"否,垂,乃"
世,"world, generation, society, public","セイ, セ; よ","世界 (せかい·1) = world, society; 世代 (せだい·1,0) = generation, age; 世話 (せわ·2) = looking after, help; 世話人 (せわにん·0) = manager, sponsor, agent",世論に聞け。,,世論 に 聞く,｜ 一,"華,曹,垂"
主,"main, principle","シュ, ス; ぬし, おも, あるじ","主 (おも·1) = main, principal, important; 主人 (しゅじん·1) = master, landlord, husband, employer; 主食 (しゅしょく·0) = staple food; 主語 (しゅご·1) = subject; 持ち主 (もちぬし·2) = owner, proprietor",私は主婦です。,,私(わたし) は 主婦 です,王 丶,"玉,球,注"
乗,"to ride, to board, to get on","ジョウ, ショウ; の.る, の.せる","乗る (のる·0) = to ride, to board, to get on; 乗せる (のせる·0) = to give a ride, to let (one) take part; 乗員 (じょういん·0) = crew; 乗り場 (のりば·0) = place for boarding vehicles; 乗り物 (のりもの·0) = vehicle",乗船する。,,乗船 為る(する),｜ ノ 一 禾 ハ,"垂,乃,丑"
事,"matter, thing, fact","ジ, ズ; こと","仕事 (しごと·0) = work, occupation; 火事 (かじ·1) = fire; 食事 (しょくじ·0) = meal; 行事 (ぎょうじ·1,0) = event, function; 出来事 (できごと·2) = incident, affair, event",お見事！,,お見事,一 口 亅 ヨ,"司,可,了"
京,capital,"キョウ, ケイ; みやこ",東京 (とうきょう·0) = Tokyo - Capital of Japan; 京子 (きょうこ) = kyoko; 京都 (きょうと·1) = kyoto; 上京 (じょうきょう·0) = heading to the capital,東京駅なう。,,東京 駅 ナウ,口 小 亠,"諒,涼,椋"
仕,"attend, do","シ, ジ; つか.える","仕える (つかえる·3,0) = to serve, to work for; 仕事 (しごと·0) = work, occupation; 仕事場 (しごとば·0) = place where one works; 仕上げる (しあげる·3) = to finish up, to complete",さあ仕事だ。,,さあ 仕事 だ,化 士,"任,俵,志"
代,"age, generation, substitute","ダイ, タイ; か.わる, か.える, よ, しろ","代わる (かわる·0) = to take the place of; 時代 (じだい·0) = period, era; 世代 (せだい·1,0) = generation, age; 代金 (だいきん·1,0) = price, payment, cost, the bill",父は５０代です。,,父 は 代(だい) です,化 弋,"袋,黛,貸"
以,by means of,イ,"以上 (いじょう·1) = more than, over, this is all; 以下 (いか·1) = less than, below, under; 以内 (いない·1) = within, inside of; 以外 (いがい·1) = with the exception of",以上ですか？,,以上 ですか,｜ 人 丶,"州,似,酬"
低,"short, humble","テイ; ひく.い, ひく.める, ひく.まる","低い (ひくい·2) = short, low, humble; 低音 (ていおん·0) = low tone, bass; 低下 (ていか·0) = fall, decline, deterioration; 高低 (こうてい·0,1) = high and low, rise and fall; 低地 (ていち·0) = lowland, plain, low ground",あの映画、最低！,,彼の(あの) 映画 最低,化 氏 一,"体,但,侑"
住,"live, dwell, reside","ジュウ, チュウ; す.む, す.まう","住む (すむ·1) = to reside, to live in; 住所 (じゅうしょ·1) = address (eg house), residence; 安住 (あんじゅう·0) = living peaceably",住めば都。,,住む 都(みやこ),王 化 丶,"玉,主,球"
体,"body, object, reality","タイ, テイ; からだ, かたち","体 (からだ·0) = body, health; 本体 (ほんたい·1,0) = substance, real form; 死体 (したい·0) = corpse; 人体 (じんたい·1) = human body; 正体 (しょうたい·1) = natural shape, true character",金より体。,,金(かね) より 体(からだ),木 一 化,"本,休,森"
作,"make, create","サク, サ; つく.る, つく.り","作る (つくる·2) = to make, to create; 作家 (さっか·0) = author, writer; 工作 (こうさく·0) = work, handicraft; 作り話 (つくりはなし·4) = fiction, made-up story, myth",何を作ったの？,,何 を 作る の,｜ ノ 化 一 乞,"垂,乃,丑"
使,to use,"シ; つか.う, つか.い, -づか.い",使う (つかう·0) = to use; 使い方 (つかいかた·0) = way to use something; 天使 (てんし·1) = angel; 使者 (ししゃ·1) = messenger,何に使うの？,,何 に 使う の,ノ 一 化 口,"佑,右,呂"
便,"convenience, post","ベン, ビン; たよ.り","便 (びん·1) = mail, post; 不便 (ふべん·1) = inconvenience; 小便 (しょうべん·3) = urine; 大便 (だいべん·3) = feces, excrement",嘘も方便。,,嘘 も 方便(ほうべん),｜ ノ 一 化 日 田,"更,伸,働"
借,"borrow, rent",シャク; か.りる,"借りる (かりる·0) = to borrow; 借金 (しゃっきん·3) = debt, loan, liabilities; 借り物 (かりもの·0) = borrowed thing",私には借金がない。,,私(わたし) には 借金 が 無い,化 日 廾 二,"仁,錯,晶"
働,work,ドウ; はたら.く,"働く (はたらく·0) = to work, to labour; 働き者 (はたらきもの·0) = hardworker, hard working person; 働き口 (はたらきぐち·0,4) = position, opening",彼は働き者だ。,,彼(かれ) は 働き者 だ,｜ 一 化 力 日 ノ,"勲,動,便"
